atomic	name	ion
1	H	0
2	He	0
2	He	1
3	Li	0
3	Li	1
3	Li	2
4	Be	0
4	Be	1
4	Be	2
4	Be	3
5	B	0
5	B	1
5	B	2
5	B	3
6	C	0
6	C	1
6	C	2
6	C	3
6	C	4
6	C	5
7	N	0
7	N	1
7	N	2
7	N	3
7	N	4
7	N	5
7	N	6
8	O	0
8	O	1
8	O	2
8	O	3
8	O	4
8	O	5
8	O	6
9	F	0
9	F	1
9	F	2
9	F	3
9	F	4
9	F	5
10	Ne	0
10	Ne	1
10	Ne	2
10	Ne	3
10	Ne	4
10	Ne	5
11	Na	0
11	Na	1
11	Na	2
11	Na	3
11	Na	4
11	Na	5
12	Mg	0
12	Mg	1
12	Mg	2
12	Mg	3
12	Mg	4
12	Mg	5
13	Al	0
13	Al	1
13	Al	2
13	Al	3
13	Al	4
13	Al	5
14	Si	0
14	Si	1
14	Si	2
14	Si	3
14	Si	4
14	Si	5
15	P	0
15	P	1
15	P	2
15	P	3
15	P	4
15	P	5
16	S	0
16	S	1
16	S	2
16	S	3
16	S	4
16	S	5
17	Cl	0
17	Cl	1
17	Cl	2
17	Cl	3
17	Cl	4
18	Ar	0
18	Ar	1
18	Ar	2
18	Ar	3
18	Ar	4
19	K	0
19	K	1
19	K	2
19	K	3
19	K	4
20	Ca	0
20	Ca	1
20	Ca	2
20	Ca	3
20	Ca	4
20	Ca	5
20	Ca	6
20	Ca	7
20	Ca	8
21	Sc	0
21	Sc	1
21	Sc	2
21	Sc	3
21	Sc	4
21	Sc	5
21	Sc	6
21	Sc	7
21	Sc	8
22	Ti	0
22	Ti	1
22	Ti	2
22	Ti	3
22	Ti	4
22	Ti	5
22	Ti	6
22	Ti	7
22	Ti	8
23	V	0
23	V	1
23	V	2
23	V	3
23	V	4
23	V	5
23	V	6
23	V	7
23	V	8
24	Cr	0
24	Cr	1
24	Cr	2
24	Cr	3
24	Cr	4
24	Cr	5
24	Cr	6
24	Cr	7
24	Cr	8
25	Mn	0
25	Mn	1
25	Mn	2
25	Mn	3
25	Mn	4
25	Mn	5
25	Mn	6
25	Mn	7
25	Mn	8
26	Fe	0
26	Fe	1
26	Fe	2
26	Fe	3
26	Fe	4
26	Fe	5
26	Fe	6
26	Fe	7
26	Fe	8
27	Co	0
27	Co	1
27	Co	2
27	Co	3
27	Co	4
27	Co	5
27	Co	6
27	Co	7
27	Co	8
28	Ni	0
28	Ni	1
28	Ni	2
28	Ni	3
28	Ni	4
28	Ni	5
28	Ni	6
28	Ni	7
28	Ni	8
29	Cu	0
29	Cu	1
29	Cu	2
30	Zn	0
30	Zn	1
30	Zn	2
30	Zn	3
31	Ga	0
31	Ga	1
31	Ga	2
32	Ge	0
32	Ge	1
32	Ge	2
33	As	0
33	As	1
33	As	2
34	Se	0
34	Se	1
34	Se	2
35	Br	0
35	Br	1
35	Br	2
36	Kr	0
36	Kr	1
36	Kr	2
37	Rb	0
37	Rb	1
37	Rb	2
38	Sr	0
38	Sr	1
38	Sr	2
39	Y	0
39	Y	1
39	Y	2
40	Zr	0
40	Zr	1
40	Zr	2
41	Nb	0
41	Nb	1
41	Nb	2
42	Mo	0
42	Mo	1
42	Mo	2
43	Tc	0
43	Tc	1
43	Tc	2
44	Ru	0
44	Ru	1
44	Ru	2
